Inputs	Hidden1 Nodes	Hidden2 Nodes	Hidden3 Nodes	Eta	Alpha	Steps	Val MAPE	Pseudo Test MAPE	Test MAPE
64	40	62	34	0.898182723505	0.988713835964	337	0.249948757281	0.245019859761	
64	40	62	34	0.898182723505	0.988713835964	337	0.233979583826	0.219904508011	
64	40	62	34	0.898182723505	0.988713835964	337	0.25186001606	0.237937038909	
64	40	62	34	0.898182723505	0.988713835964	337	0.249482741635	0.243262317635	
64	40	62	34	0.898182723505	0.988713835964	337	0.250611885045	0.239062562345	
64	40	62	34	0.898182723505	0.988713835964	337	0.25050515412	0.240673506898	
64	40	62	34	0.898182723505	0.988713835964	337	0.243953429096	0.235991846877	
64	40	62	34	0.898182723505	0.988713835964	337	0.233449013438	0.220673035454	
64	40	62	34	0.898182723505	0.988713835964	337	0.251234368771	0.238168308528	
64	40	62	34	0.898182723505	0.988713835964	337	0.250694269231	0.237992677375	
64	40	62	34	0.898182723505	0.988713835964	337	0.245175189464	0.233451294613	
64	40	62	34	0.898182723505	0.988713835964	337	0.250050369473	0.240544370364	
64	40	62	34	0.898182723505	0.988713835964	337	0.232706221954	0.22385405014	
64	40	62	34	0.898182723505	0.988713835964	337	0.216216261089	0.214872930727	
64	40	62	34	0.898182723505	0.988713835964	337	0.250982938939	0.239493678988	
